Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Czarne zabarwienie stolca powoduje podanie preparatów:,Bizmutu,Żelaza,,,,Wapnia,Glinu,,,,EGZ 2019 I termin,niska
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Uzasadnionym wskazaniem do przewlekłego stosowania inhibitorów pompy protonowej jest:,Choroba refluksowa żołądka,Profilaktyka gastropatii u osób leczonych niesteroidowymi lekami przeciwzapalnymi powyżej 65 r.ż,Eradykacja Helicobacter Pylori,,,Profilaktyka wrzodów stresowych,,,,,EGZ 2019 I termin,wysoka
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Wybierz prawidłowe połączenie lek – wskazanie,Mesalazyna – choroba Leśniowskiego crohna,Rifaksymina – biegunka podróżnych,Metylonaltrekson – zaparcia w trakcie terapii opioidami,,,Racekadotryl – śpiączka wątrobowa,,,,,EGZ 2019 I termin,wysoka
ZNIECZULENIA OGÓLNE,Klasyfikacja,lekarski,testowe,Do leków które wykazują miejscowe działanie przeciwbólowe po podaniu na skórę należy:,Kapsaicyna,Ketoprofen,,,,Propofol,Tiopental,,,,EGZ 2019 I termin,srednia
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Ryzyko uszkodzenia wątroby przez paracetamol rośnie w przypadku:,Zespołu zależności alkoholowej (ZAA),Wygłodzenia (kacheksji),Indukcji enzymów mikrosomalnych wątroby,Przedawkowania,,,,,,,EGZ 2019 I termin,niska
BÓLE GŁOWY,Wskazania,lekarski,testowe,W przerywaniu bólów migrenowych stosuje się:,Kwas acetylosalicylowy,Dihydroergotaminę,Zolmitryptan,,,Morfinę,,,,,EGZ 2019 I termin,wysoka
JASKRA,Klasyfikacja,lekarski,testowe,Analogi prostaglandyny E1 mogą powodować,Hamowanie wydzielania soku żołądkowego,,,,,Poprawę odpływu cieczy wodnistej z oka,Rozszerzanie naczyń krwionośnych tętniczych,Hamowanie agregacji płytek krwi,,,EGZ 2019 I termin,niska
UKŁAD POKARMOWY,Mechanizm działania,lekarski,testowe,Substytucja enzymów trzustkowych jest wskazana:,W mukowiscydozie,Po resekcji trzustki,,,,W cukrzycy typu 1,W anoreksji,,,,EGZ 2019 I termin,niska
PADACZKA,Wskazania,lekarski,testowe,Wybierz prawidłowe połączenie lek – wskazanie do podania:,Haloperydol – agresja u pacjentów z ograniczonym uszkodzeniem mózgu,Betahistyna – zawroty głowy w przebiegu choroby Meniere’a,Topiramat – profilaktyka migreny,Lamotrygina – profilaktyka choroby afektywnej dwubiegunowej,,,,,,,EGZ 2019 I termin,srednia
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,Kwas acetylosalicylowy:,Ma eliminację metabolitów zgodnie z kinetyką I rzędu po podaniu małych dawek kardiologicznych,Może być przyczyną zapalenia jelita cienkiego,Po przedawkowaniu szybciej wydala się przez nerki po dożylnym podaniu wodorowęglanu sodu,,,Słabiej zapobiega powstawaniu zakrzepu na blaszce miażdżycowej,,,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Antidotum,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące leczenia heparyną niefrakcjonowaną:,Może być podawana podskórnie ale jej biodostępność jest wtedy mała i zmienna osobniczo,Białka osoczowe mogą zmniejszać jej działanie przeciwkrzepliwe i być przyczyną oporności na leczenie,"Przedłużenie aPTT 1,5-2 razy w stosunku do wartości wyjściowej jest pożądanym efektem terapeutycznym",Jej antidotum jest siarczan protaminy,,,,,,,EGZ 2019 I termin,wysoka
UKŁAD PRZYWSPÓŁCZULNY,Przeciwwskazania,lekarski,testowe,Przeciwwskazaniem do podania cholinolityków jest:,Rozrost gruczołu krokowego,Jaskra,,,,Choroba wrzodowa żołądka i dwunastnicy,Choroba lokomocyjna,,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Monitorowanie,lekarski,testowe,Warfaryna:,Jest sotosowana w profilaktyce i leczeniu żylnej choroby zakrzepowo-zatorowej,Może być przyczyną zespołu purpurowego palucha,,,,Wymaga utrzymania INR>4,Jest eliminowana niezmieniona przez nerki,,,,EGZ 2019 I termin,wysoka
HEMOSTAZA,Monitorowanie,lekarski,testowe,Fondaparynuks:,Jest stosowana u osób z zawałem serca z przetrwałym uniesieniem odcinka ST (STEMI) oraz bez jego uniesienia (NSTEMI),,,,,Wybiórczo hamuje czynnik IIa,W zalecanych dawkach hamuje istotnie wydłuża aPTT,Nie jest wydalany przez nerki i może być stosowany u pacjentów z klirensem kreatyniny poniżej 30ml/min,,,EGZ 2019 I termin,srednia
HEMOSTAZA,Sposób podania,lekarski,testowe,Bezpośrednim inhibitorem trombiny podawanym dożylnie jest:,Argatroban,Biwalirudyna,,,,Dabigatran,Dalteparyna,,,,EGZ 2019 I termin,wysoka
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,lekarski,testowe,Odwracalne inhibitory acetylocholinesterazy są stosowane w leczeniu:,Nużliwości mięśni,Pooperacyjnej niedrożności jelit,Choroby Alzheimera,,,Zatruć związakmi fosfoorganicznymi,,,,,EGZ 2019 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Zaznacza prawidłowe pary dotyczące leczenia uzależnień i wybranego leku:,Uzależnienie od alkoholu – nalmefen,Uzależnienie od heroiny – metadon,,,,Uzależnienie od nikotyny – klonidyna,Uzależnienie od amfetaminy – wereniklina,,,,EGZ 2019 I termin,niska
STANY NAGŁE,Działania niepożądane,lekarski,testowe,Wskaż prawidłowe pary płyn infuzyjny – możliwe działania niepożądane:,5% roztwór glukozy – hiponatremia,HES (hydroksyetylowana skrobia) – ostre uszkodzenie nerek,5% roztwór albuminy – anafilaksja,Dekstran 70000 – działanie przeciwkrzepliwe,,,,,,,EGZ 2019 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Wskaż prawidłowe stwierdzenie dotyczące leczenia hipotensyjnego:,Tiazydy mogą bezpośrednio oddziaływać na ścianę naczyń i zmniejszać systemowy opór naczyniowy,Pełny efekt hipotensyjny występuje po kilkunastu dniach leczenia,Blokada kotransportera Na-Cl w kanaliku dystalnym prowadzi do zwiększeniu natriurezy,,,Ich skuteczność w leczeniu przewlekłym wynika przede wszystkim ze zmniejszenia objętości osocza i rzutu serca,,,,,EGZ 2019 I termin,srednia
UKŁAD PRZYWSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Suksametonium może być przyczyną:,Drżenia włókienkowego mięśni szkieletowych,Zaburzeń oddychania,Zespołu hipertermii złośliwej,Długotrwałego efektu zwiotczającego u osób z dysfunkcją acetylocholinesterazy,,,,,,,EGZ 2019 I termin,srednia
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,W celu łagodzenia suchego kaszlu można wybrać:,Dekstrometorfan,Kodeinę,Butamirat,,,Bromheksynę,,,,,EGZ 2019 I termin,wysoka
LEKI PRZECIWPASOŻYTNICZE,Wskazania,lekarski,testowe,Albendazol stosowany jest w jelitowej infestacji:,Glistą ludzką,Tasiemcem uzbrojonym,Owsikami,,,Lambliami,,,,,EGZ 2019 I termin,wysoka
PADACZKA,Wskazania,lekarski,testowe,Napad paniki należy leczyć stosując doraźnie:,Techniki relaksacyjne,Alprazolam,,,,Pregabalinę,Fluoksetynę,,,,EGZ 2019 I termin,niska
UKŁAD WSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Fenoterol może być przyczyną:,Tachykardii,Drżenia mięśni,Hiperglikemii,Hamowania skurczów ciężarnej macicy,,,,,,,EGZ 2019 I termin,niska
